image,cultivar,file_path,is_exist,label_index
2017-06-20__11-52-19-109.jpeg,PI_297171,../input/sorghum-id-fgvc-9/train_images/2017-06-20__11-52-19-109.png,True,25
2017-06-26__11-01-16-308.jpeg,PI_329351,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-01-16-308.png,True,26
2017-06-04__13-53-49-547.jpeg,PI_273969,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-53-49-547.png,True,9
2017-06-16__10-52-35-266.jpeg,PI_152961,../input/sorghum-id-fgvc-9/train_images/2017-06-16__10-52-35-266.png,True,27
2017-06-01__12-05-25-739.jpeg,PI_176766,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-05-25-739.png,True,4
2017-06-09__13-28-06-512.jpeg,PI_179749,../input/sorghum-id-fgvc-9/train_images/2017-06-09__13-28-06-512.png,True,28
2017-06-13__11-18-16-069.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-18-16-069.png,True,29
2017-06-03__12-47-23-312.jpeg,PI_170787,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-47-23-312.png,True,23
2017-06-28__11-29-25-953.jpeg,PI_266927,../input/sorghum-id-fgvc-9/train_images/2017-06-28__11-29-25-953.png,True,30
2017-06-02__17-16-09-034.jpeg,PI_156871,../input/sorghum-id-fgvc-9/train_images/2017-06-02__17-16-09-034.png,True,31
2017-06-02__18-04-25-964.jpeg,PI_329300,../input/sorghum-id-fgvc-9/train_images/2017-06-02__18-04-25-964.png,True,32
2017-06-20__13-17-16-857.jpeg,PI_221548,../input/sorghum-id-fgvc-9/train_images/2017-06-20__13-17-16-857.png,True,33
2017-06-17__14-04-10-033.jpeg,PI_152966,../input/sorghum-id-fgvc-9/train_images/2017-06-17__14-04-10-033.png,True,34
2017-06-09__13-06-18-145.jpeg,PI_152651,../input/sorghum-id-fgvc-9/train_images/2017-06-09__13-06-18-145.png,True,3
2017-06-04__12-47-42-879.jpeg,PI_273465,../input/sorghum-id-fgvc-9/train_images/2017-06-04__12-47-42-879.png,True,35
2017-06-22__12-33-07-526.jpeg,PI_146890,../input/sorghum-id-fgvc-9/train_images/2017-06-22__12-33-07-526.png,True,36
2017-06-12__13-16-47-112.jpeg,PI_152965,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-16-47-112.png,True,37
2017-06-04__14-14-17-738.jpeg,PI_329286,../input/sorghum-id-fgvc-9/train_images/2017-06-04__14-14-17-738.png,True,38
2017-06-15__13-29-23-723.jpeg,PI_156393,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-29-23-723.png,True,13
2017-06-15__13-13-17-592.jpeg,PI_180348,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-13-17-592.png,True,39
2017-06-28__12-40-56-393.jpeg,PI_329338,../input/sorghum-id-fgvc-9/train_images/2017-06-28__12-40-56-393.png,True,40
2017-06-17__12-44-22-919.jpeg,PI_196583,../input/sorghum-id-fgvc-9/train_images/2017-06-17__12-44-22-919.png,True,41
2017-06-27__10-42-43-014.jpeg,PI_152771,../input/sorghum-id-fgvc-9/train_images/2017-06-27__10-42-43-014.png,True,42
2017-06-15__14-21-07-961.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-15__14-21-07-961.png,True,29
2017-06-09__13-36-14-892.jpeg,PI_197542,../input/sorghum-id-fgvc-9/train_images/2017-06-09__13-36-14-892.png,True,43
2017-06-04__13-36-24-016.jpeg,PI_152967,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-36-24-016.png,True,44
2017-06-26__11-11-17-559.jpeg,PI_156326,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-11-17-559.png,True,45
2017-06-26__11-56-32-325.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-56-32-325.png,True,7
2017-06-13__11-18-54-600.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-18-54-600.png,True,29
2017-06-19__17-31-15-431.jpeg,PI_154988,../input/sorghum-id-fgvc-9/train_images/2017-06-19__17-31-15-431.png,True,46
2017-06-26__18-29-35-752.jpeg,PI_152961,../input/sorghum-id-fgvc-9/train_images/2017-06-26__18-29-35-752.png,True,27
2017-06-15__13-40-45-092.jpeg,PI_152828,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-40-45-092.png,True,15
2017-06-13__12-12-09-516.jpeg,PI_145626,../input/sorghum-id-fgvc-9/train_images/2017-06-13__12-12-09-516.png,True,47
2017-06-04__13-41-25-911.jpeg,PI_175919,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-41-25-911.png,True,24
2017-06-28__12-06-07-934.jpeg,PI_329256,../input/sorghum-id-fgvc-9/train_images/2017-06-28__12-06-07-934.png,True,48
2017-06-13__11-39-32-692.jpeg,PI_273969,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-39-32-692.png,True,9
2017-06-26__11-01-28-278.jpeg,PI_157804,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-01-28-278.png,True,49
2017-06-30__11-52-46-639.jpeg,PI_329286,../input/sorghum-id-fgvc-9/train_images/2017-06-30__11-52-46-639.png,True,38
2017-06-26__11-49-55-051.jpeg,PI_255744,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-49-55-051.png,True,50
2017-06-20__12-05-04-039.jpeg,PI_329351,../input/sorghum-id-fgvc-9/train_images/2017-06-20__12-05-04-039.png,True,26
2017-06-01__11-53-29-066.jpeg,PI_156463,../input/sorghum-id-fgvc-9/train_images/2017-06-01__11-53-29-066.png,True,11
2017-06-04__13-53-43-915.jpeg,PI_152860,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-53-43-915.png,True,51
2017-06-28__10-26-33-038.jpeg,PI_175919,../input/sorghum-id-fgvc-9/train_images/2017-06-28__10-26-33-038.png,True,24
2017-06-01__11-17-06-111.jpeg,PI_152730,../input/sorghum-id-fgvc-9/train_images/2017-06-01__11-17-06-111.png,True,52
2017-06-04__13-59-38-147.jpeg,PI_154844,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-59-38-147.png,True,53
2017-06-16__12-34-47-416.jpeg,PI_196598,../input/sorghum-id-fgvc-9/train_images/2017-06-16__12-34-47-416.png,True,54
2017-06-26__12-39-21-357.jpeg,PI_152966,../input/sorghum-id-fgvc-9/train_images/2017-06-26__12-39-21-357.png,True,34
2017-06-03__12-29-22-146.jpeg,PI_329333,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-29-22-146.png,True,55
2017-06-21__13-02-59-731.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-21__13-02-59-731.png,True,29
2017-06-27__11-58-30-439.jpeg,PI_156326,../input/sorghum-id-fgvc-9/train_images/2017-06-27__11-58-30-439.png,True,45
2017-06-05__13-04-56-203.jpeg,PI_152965,../input/sorghum-id-fgvc-9/train_images/2017-06-05__13-04-56-203.png,True,37
2017-06-02__18-05-23-434.jpeg,PI_156326,../input/sorghum-id-fgvc-9/train_images/2017-06-02__18-05-23-434.png,True,45
2017-06-21__14-14-01-012.jpeg,PI_152965,../input/sorghum-id-fgvc-9/train_images/2017-06-21__14-14-01-012.png,True,37
2017-06-26__12-53-06-632.jpeg,PI_35038,../input/sorghum-id-fgvc-9/train_images/2017-06-26__12-53-06-632.png,True,14
2017-06-28__10-55-20-476.jpeg,PI_154988,../input/sorghum-id-fgvc-9/train_images/2017-06-28__10-55-20-476.png,True,46
2017-06-01__12-36-48-272.jpeg,PI_152727,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-36-48-272.png,True,56
2017-06-29__11-23-48-156.jpeg,PI_145619,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-23-48-156.png,True,57
2017-06-12__13-20-04-699.jpeg,PI_297155,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-20-04-699.png,True,58
2017-06-09__13-36-33-498.jpeg,PI_197542,../input/sorghum-id-fgvc-9/train_images/2017-06-09__13-36-33-498.png,True,43
2017-06-29__11-58-37-039.jpeg,PI_156178,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-58-37-039.png,True,59
2017-06-28__12-40-51-853.jpeg,PI_276837,../input/sorghum-id-fgvc-9/train_images/2017-06-28__12-40-51-853.png,True,60
2017-06-23__19-06-38-489.jpeg,PI_195754,../input/sorghum-id-fgvc-9/train_images/2017-06-23__19-06-38-489.png,True,61
2017-06-17__13-18-06-932.jpeg,PI_152751,../input/sorghum-id-fgvc-9/train_images/2017-06-17__13-18-06-932.png,True,62
2017-06-23__12-32-11-131.jpeg,PI_267573,../input/sorghum-id-fgvc-9/train_images/2017-06-23__12-32-11-131.png,True,63
2017-06-09__11-39-51-960.jpeg,PI_19770,../input/sorghum-id-fgvc-9/train_images/2017-06-09__11-39-51-960.png,True,64
2017-06-05__12-55-58-623.jpeg,PI_145619,../input/sorghum-id-fgvc-9/train_images/2017-06-05__12-55-58-623.png,True,57
2017-06-15__12-04-20-182.jpeg,PI_175919,../input/sorghum-id-fgvc-9/train_images/2017-06-15__12-04-20-182.png,True,24
2017-06-16__11-56-36-473.jpeg,PI_152862,../input/sorghum-id-fgvc-9/train_images/2017-06-16__11-56-36-473.png,True,65
2017-06-19__17-58-41-017.jpeg,PI_329333,../input/sorghum-id-fgvc-9/train_images/2017-06-19__17-58-41-017.png,True,55
2017-06-15__12-16-02-755.jpeg,PI_155760,../input/sorghum-id-fgvc-9/train_images/2017-06-15__12-16-02-755.png,True,66
2017-06-01__12-42-56-491.jpeg,PI_92270,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-42-56-491.png,True,2
2017-06-13__11-24-42-895.jpeg,PI_329338,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-24-42-895.png,True,40
2017-06-04__14-42-15-380.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-04__14-42-15-380.png,True,7
2017-06-09__11-56-23-546.jpeg,PI_329300,../input/sorghum-id-fgvc-9/train_images/2017-06-09__11-56-23-546.png,True,32
2017-06-23__13-02-21-309.jpeg,PI_154987,../input/sorghum-id-fgvc-9/train_images/2017-06-23__13-02-21-309.png,True,1
2017-06-28__11-38-42-790.jpeg,PI_156871,../input/sorghum-id-fgvc-9/train_images/2017-06-28__11-38-42-790.png,True,31
2017-06-16__10-55-21-396.jpeg,PI_152728,../input/sorghum-id-fgvc-9/train_images/2017-06-16__10-55-21-396.png,True,67
2017-06-03__12-46-54-011.jpeg,PI_196586,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-46-54-011.png,True,10
2017-06-19__15-48-01-483.jpeg,PI_273969,../input/sorghum-id-fgvc-9/train_images/2017-06-19__15-48-01-483.png,True,9
2017-06-18__14-51-24-016.jpeg,PI_154987,../input/sorghum-id-fgvc-9/train_images/2017-06-18__14-51-24-016.png,True,1
2017-06-22__12-09-18-775.jpeg,PI_329333,../input/sorghum-id-fgvc-9/train_images/2017-06-22__12-09-18-775.png,True,55
2017-06-29__11-50-40-556.jpeg,PI_152651,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-50-40-556.png,True,3
2017-06-17__13-19-07-185.jpeg,PI_152730,../input/sorghum-id-fgvc-9/train_images/2017-06-17__13-19-07-185.png,True,52
2017-06-13__12-25-52-793.jpeg,PI_297130,../input/sorghum-id-fgvc-9/train_images/2017-06-13__12-25-52-793.png,True,68
2017-06-26__11-57-27-185.jpeg,PI_329300,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-57-27-185.png,True,32
2017-06-17__14-01-07-843.jpeg,PI_229841,../input/sorghum-id-fgvc-9/train_images/2017-06-17__14-01-07-843.png,True,69
2017-06-21__13-05-37-604.jpeg,PI_170787,../input/sorghum-id-fgvc-9/train_images/2017-06-21__13-05-37-604.png,True,23
2017-06-21__12-20-07-494.jpeg,PI_154846,../input/sorghum-id-fgvc-9/train_images/2017-06-21__12-20-07-494.png,True,70
2017-06-22__13-18-44-769.jpeg,PI_329301,../input/sorghum-id-fgvc-9/train_images/2017-06-22__13-18-44-769.png,True,71
2017-06-04__13-12-51-552.jpeg,PI_221548,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-12-51-552.png,True,33
2017-06-22__13-21-19-163.jpeg,PI_266927,../input/sorghum-id-fgvc-9/train_images/2017-06-22__13-21-19-163.png,True,30
2017-06-12__13-43-46-842.jpeg,PI_154987,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-43-46-842.png,True,1
2017-06-15__13-11-54-968.jpeg,PI_19770,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-11-54-968.png,True,64
2017-06-01__11-37-11-574.jpeg,PI_152860,../input/sorghum-id-fgvc-9/train_images/2017-06-01__11-37-11-574.png,True,51
2017-06-03__11-47-12-396.jpeg,PI_329338,../input/sorghum-id-fgvc-9/train_images/2017-06-03__11-47-12-396.png,True,40
2017-06-09__11-45-35-359.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-09__11-45-35-359.png,True,7
2017-06-28__13-04-07-145.jpeg,PI_152862,../input/sorghum-id-fgvc-9/train_images/2017-06-28__13-04-07-145.png,True,65
2017-06-14__14-44-23-387.jpeg,PI_329338,../input/sorghum-id-fgvc-9/train_images/2017-06-14__14-44-23-387.png,True,40
2017-06-29__12-22-55-083.jpeg,PI_197542,../input/sorghum-id-fgvc-9/train_images/2017-06-29__12-22-55-083.png,True,43
2017-06-21__12-01-37-893.jpeg,PI_152730,../input/sorghum-id-fgvc-9/train_images/2017-06-21__12-01-37-893.png,True,52
2017-06-28__11-50-22-395.jpeg,PI_253986,../input/sorghum-id-fgvc-9/train_images/2017-06-28__11-50-22-395.png,True,72
2017-06-26__10-15-52-883.jpeg,PI_195754,../input/sorghum-id-fgvc-9/train_images/2017-06-26__10-15-52-883.png,True,61
2017-06-29__10-47-20-695.jpeg,PI_175919,../input/sorghum-id-fgvc-9/train_images/2017-06-29__10-47-20-695.png,True,24
2017-06-23__11-46-51-629.jpeg,PI_153877,../input/sorghum-id-fgvc-9/train_images/2017-06-23__11-46-51-629.png,True,73
2017-06-16__12-05-48-665.jpeg,PI_156217,../input/sorghum-id-fgvc-9/train_images/2017-06-16__12-05-48-665.png,True,74
2017-06-01__12-03-11-225.jpeg,PI_266927,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-03-11-225.png,True,30
2017-06-02__17-46-18-356.jpeg,PI_157035,../input/sorghum-id-fgvc-9/train_images/2017-06-02__17-46-18-356.png,True,75
2017-06-20__11-16-35-156.jpeg,PI_181080,../input/sorghum-id-fgvc-9/train_images/2017-06-20__11-16-35-156.png,True,76
2017-06-21__11-43-02-157.jpeg,PI_155760,../input/sorghum-id-fgvc-9/train_images/2017-06-21__11-43-02-157.png,True,66
2017-06-23__11-19-40-270.jpeg,PI_195754,../input/sorghum-id-fgvc-9/train_images/2017-06-23__11-19-40-270.png,True,61
2017-06-13__12-34-28-998.jpeg,PI_217691,../input/sorghum-id-fgvc-9/train_images/2017-06-13__12-34-28-998.png,True,77
2017-06-20__12-32-37-803.jpeg,PI_273465,../input/sorghum-id-fgvc-9/train_images/2017-06-20__12-32-37-803.png,True,35
2017-06-16__11-51-23-009.jpeg,PI_152862,../input/sorghum-id-fgvc-9/train_images/2017-06-16__11-51-23-009.png,True,65
2017-06-27__10-33-52-663.jpeg,PI_35038,../input/sorghum-id-fgvc-9/train_images/2017-06-27__10-33-52-663.png,True,14
2017-06-27__13-09-16-459.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-27__13-09-16-459.png,True,29
2017-06-28__10-44-01-185.jpeg,PI_63715,../input/sorghum-id-fgvc-9/train_images/2017-06-28__10-44-01-185.png,True,78
2017-06-01__11-22-16-985.jpeg,PI_152728,../input/sorghum-id-fgvc-9/train_images/2017-06-01__11-22-16-985.png,True,67
2017-06-27__10-34-57-557.jpeg,PI_145633,../input/sorghum-id-fgvc-9/train_images/2017-06-27__10-34-57-557.png,True,8
2017-06-29__11-50-31-536.jpeg,PI_152694,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-50-31-536.png,True,16
2017-06-02__17-58-56-793.jpeg,PI_156178,../input/sorghum-id-fgvc-9/train_images/2017-06-02__17-58-56-793.png,True,59
2017-06-15__14-21-45-891.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-15__14-21-45-891.png,True,7
2017-06-20__11-56-31-082.jpeg,PI_297155,../input/sorghum-id-fgvc-9/train_images/2017-06-20__11-56-31-082.png,True,58
2017-06-26__12-52-55-152.jpeg,PI_329326,../input/sorghum-id-fgvc-9/train_images/2017-06-26__12-52-55-152.png,True,79
2017-06-12__13-58-02-359.jpeg,PI_329333,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-58-02-359.png,True,55
2017-06-03__12-59-57-532.jpeg,PI_217691,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-59-57-532.png,True,77
2017-06-13__11-55-55-043.jpeg,PI_253986,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-55-55-043.png,True,72
2017-06-20__13-13-56-377.jpeg,PI_152591,../input/sorghum-id-fgvc-9/train_images/2017-06-20__13-13-56-377.png,True,80
2017-06-16__11-29-50-833.jpeg,PI_146890,../input/sorghum-id-fgvc-9/train_images/2017-06-16__11-29-50-833.png,True,36
2017-06-19__18-06-32-112.jpeg,PI_152961,../input/sorghum-id-fgvc-9/train_images/2017-06-19__18-06-32-112.png,True,27
2017-06-28__11-30-01-893.jpeg,PI_167093,../input/sorghum-id-fgvc-9/train_images/2017-06-28__11-30-01-893.png,True,81
2017-06-03__12-04-30-505.jpeg,PI_257599,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-04-30-505.png,True,0
2017-06-13__11-28-55-689.jpeg,PI_167093,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-28-55-689.png,True,81
2017-06-21__12-01-40-849.jpeg,PI_303658,../input/sorghum-id-fgvc-9/train_images/2017-06-21__12-01-40-849.png,True,82
2017-06-01__10-41-04-558.jpeg,PI_152751,../input/sorghum-id-fgvc-9/train_images/2017-06-01__10-41-04-558.png,True,62
2017-06-21__11-34-51-977.jpeg,PI_251672,../input/sorghum-id-fgvc-9/train_images/2017-06-21__11-34-51-977.png,True,18
2017-06-02__18-15-54-053.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-02__18-15-54-053.png,True,7
2017-06-18__14-41-59-638.jpeg,PI_152771,../input/sorghum-id-fgvc-9/train_images/2017-06-18__14-41-59-638.png,True,42
2017-06-19__15-57-59-480.jpeg,PI_152771,../input/sorghum-id-fgvc-9/train_images/2017-06-19__15-57-59-480.png,True,42
2017-06-21__11-32-09-227.jpeg,PI_152923,../input/sorghum-id-fgvc-9/train_images/2017-06-21__11-32-09-227.png,True,83
2017-06-04__13-10-11-664.jpeg,PI_196586,../input/sorghum-id-fgvc-9/train_images/2017-06-04__13-10-11-664.png,True,10
2017-06-22__13-39-10-652.jpeg,PI_253986,../input/sorghum-id-fgvc-9/train_images/2017-06-22__13-39-10-652.png,True,72
2017-06-17__14-23-29-582.jpeg,PI_144134,../input/sorghum-id-fgvc-9/train_images/2017-06-17__14-23-29-582.png,True,84
2017-06-16__12-24-18-434.jpeg,PI_257599,../input/sorghum-id-fgvc-9/train_images/2017-06-16__12-24-18-434.png,True,0
2017-06-22__12-27-09-238.jpeg,PI_329326,../input/sorghum-id-fgvc-9/train_images/2017-06-22__12-27-09-238.png,True,79
2017-06-29__11-29-04-724.jpeg,PI_217691,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-29-04-724.png,True,77
2017-06-28__14-07-46-746.jpeg,PI_157030,../input/sorghum-id-fgvc-9/train_images/2017-06-28__14-07-46-746.png,True,85
2017-06-23__13-01-27-395.jpeg,PI_196049,../input/sorghum-id-fgvc-9/train_images/2017-06-23__13-01-27-395.png,True,29
2017-06-05__13-04-53-178.jpeg,PI_197542,../input/sorghum-id-fgvc-9/train_images/2017-06-05__13-04-53-178.png,True,43
2017-06-02__17-42-17-594.jpeg,PI_276837,../input/sorghum-id-fgvc-9/train_images/2017-06-02__17-42-17-594.png,True,60
2017-06-21__12-09-32-052.jpeg,PI_329299,../input/sorghum-id-fgvc-9/train_images/2017-06-21__12-09-32-052.png,True,6
2017-06-03__11-14-55-248.jpeg,PI_154988,../input/sorghum-id-fgvc-9/train_images/2017-06-03__11-14-55-248.png,True,46
2017-06-15__13-13-20-595.jpeg,PI_180348,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-13-20-595.png,True,39
2017-06-26__18-19-42-937.jpeg,PI_152694,../input/sorghum-id-fgvc-9/train_images/2017-06-26__18-19-42-937.png,True,16
2017-06-01__12-44-26-560.jpeg,PI_229841,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-44-26-560.png,True,69
2017-06-13__11-59-05-542.jpeg,PI_218112,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-59-05-542.png,True,86
2017-06-23__18-48-00-113.jpeg,PI_152860,../input/sorghum-id-fgvc-9/train_images/2017-06-23__18-48-00-113.png,True,51
2017-06-23__11-55-37-912.jpeg,PI_63715,../input/sorghum-id-fgvc-9/train_images/2017-06-23__11-55-37-912.png,True,78
2017-06-13__11-29-37-183.jpeg,PI_156330,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-29-37-183.png,True,5
2017-06-19__18-03-42-204.jpeg,PI_181080,../input/sorghum-id-fgvc-9/train_images/2017-06-19__18-03-42-204.png,True,76
2017-06-17__12-44-23-920.jpeg,PI_196583,../input/sorghum-id-fgvc-9/train_images/2017-06-17__12-44-23-920.png,True,41
2017-06-26__11-55-29-403.jpeg,PI_253986,../input/sorghum-id-fgvc-9/train_images/2017-06-26__11-55-29-403.png,True,72
2017-06-19__12-32-21-480.jpeg,PI_255239,../input/sorghum-id-fgvc-9/train_images/2017-06-19__12-32-21-480.png,True,87
2017-06-19__17-54-30-795.jpeg,PI_157804,../input/sorghum-id-fgvc-9/train_images/2017-06-19__17-54-30-795.png,True,49
2017-06-23__13-20-49-507.jpeg,PI_197542,../input/sorghum-id-fgvc-9/train_images/2017-06-23__13-20-49-507.png,True,43
2017-06-13__11-07-28-923.jpeg,PI_156178,../input/sorghum-id-fgvc-9/train_images/2017-06-13__11-07-28-923.png,True,59
2017-06-17__12-58-36-904.jpeg,PI_22913,../input/sorghum-id-fgvc-9/train_images/2017-06-17__12-58-36-904.png,True,12
2017-06-03__12-30-03-470.jpeg,PI_176766,../input/sorghum-id-fgvc-9/train_images/2017-06-03__12-30-03-470.png,True,4
2017-06-01__11-48-13-352.jpeg,PI_154846,../input/sorghum-id-fgvc-9/train_images/2017-06-01__11-48-13-352.png,True,70
2017-06-15__13-52-45-707.jpeg,PI_167093,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-52-45-707.png,True,81
2017-06-05__12-43-04-130.jpeg,PI_329326,../input/sorghum-id-fgvc-9/train_images/2017-06-05__12-43-04-130.png,True,79
2017-06-02__17-43-45-965.jpeg,PI_303658,../input/sorghum-id-fgvc-9/train_images/2017-06-02__17-43-45-965.png,True,82
2017-06-29__11-06-03-320.jpeg,PI_297171,../input/sorghum-id-fgvc-9/train_images/2017-06-29__11-06-03-320.png,True,25
2017-06-16__12-27-38-131.jpeg,PI_144134,../input/sorghum-id-fgvc-9/train_images/2017-06-16__12-27-38-131.png,True,84
2017-06-14__13-11-56-857.jpeg,PI_329299,../input/sorghum-id-fgvc-9/train_images/2017-06-14__13-11-56-857.png,True,6
2017-06-19__15-41-39-899.jpeg,PI_154750,../input/sorghum-id-fgvc-9/train_images/2017-06-19__15-41-39-899.png,True,19
2017-06-29__12-23-17-043.jpeg,PI_221548,../input/sorghum-id-fgvc-9/train_images/2017-06-29__12-23-17-043.png,True,33
2017-06-22__13-12-32-473.jpeg,PI_156217,../input/sorghum-id-fgvc-9/train_images/2017-06-22__13-12-32-473.png,True,74
2017-06-14__16-09-12-211.jpeg,PI_19770,../input/sorghum-id-fgvc-9/train_images/2017-06-14__16-09-12-211.png,True,64
